type,id,time_100avg,cost_100avg,fails_100total,visited,repeated,explored
dense,1,0.15167626299999826,33.794871794871796,0.11,196.0,2767.23,216.9
sparse,1,0.15350874600001022,700.7333333333333,0.13,184.52,2782.24,205.67
