type,time_100avg,cost_100avg,fails_100total,visited,repeated,explored
dense,0.16396721933333328,238.14328232838864,0.32999999999999996,210.86833333333337,2789.131666666667,236.3553333333333
sparse,0.16515638723333378,1042.2632611230483,0.3776666666666667,195.61033333333336,2804.389666666667,221.70933333333332
