type,time_100avg,cost_100avg,fails_100total,visited,repeated,explored
dense,0.1477145842333338,72.02221040772415,0.1323333333333333,45.94333333333335,1954.0566666666666,56.15266666666667
sparse,0.1454953265,238.5236838950531,0.13833333333333334,45.737,1954.2629999999997,55.932
