type,id,time_1avg,cost_1avg,fails_1total,visited,repeated,explored
dense,1,60.0541438629989,108.0,1.0,0.0,0.0,0.0
dense,2,60.09477461099959,111.0,1.0,0.0,0.0,0.0
dense,3,23.555127482999524,135.0,0.0,0.0,0.0,0.0
dense,4,60.104998734999754,162.0,1.0,0.0,0.0,0.0
dense,5,60.094379310001386,143.0,1.0,0.0,0.0,0.0
dense,6,60.09410148100142,0.0,1.0,0.0,0.0,0.0
dense,7,60.09313795300113,152.0,1.0,0.0,0.0,0.0
dense,8,60.09473738499946,3.0,1.0,0.0,0.0,0.0
dense,9,60.102902240998446,216.0,1.0,0.0,0.0,0.0
dense,10,60.10508820099858,0.0,1.0,0.0,0.0,0.0
sparse,1,8.02034316299978,38.0,0.0,0.0,0.0,0.0
sparse,2,19.788702672,55.0,0.0,0.0,0.0,0.0
sparse,3,1.2057769849998294,45.0,0.0,0.0,0.0,0.0
sparse,4,60.11562654000045,32.0,1.0,0.0,0.0,0.0
sparse,5,60.121603690000484,23.0,1.0,0.0,0.0,0.0
sparse,6,12.827160853999885,22.0,0.0,0.0,0.0,0.0
sparse,7,39.06700605300102,91.0,0.0,0.0,0.0,0.0
sparse,8,13.876254550999874,38.0,0.0,0.0,0.0,0.0
sparse,9,10.191627337000682,43.0,0.0,0.0,0.0,0.0
sparse,10,9.304384409000704,32.0,0.0,0.0,0.0,0.0
