type,id,time_1avg,cost_1avg,fails_1total
dense,1,0.11462025367169797,91.0,0.0
dense,2,0.233291574336666,329.3333333333333,0.0
dense,3,0.23133562566848317,327.6666666666667,0.0
dense,4,0.3318409323352777,417.3333333333333,0.0
dense,5,0.2789196476708942,421.3333333333333,0.0
dense,6,0.20068643400251554,334.3333333333333,0.0
dense,7,0.34407228566609166,534.0,0.0
dense,8,0.35327576933195814,434.3333333333333,0.0
dense,9,0.21330747833417263,366.6666666666667,0.0
dense,10,0.10543788565943639,94.0,0.0
sparse,1,0.04272044633398764,24.333333333333332,0.0
sparse,2,0.1011712416705753,57.0,0.0
sparse,3,0.09634558999581107,55.666666666666664,0.0
sparse,4,0.14131862299594408,71.0,0.0
sparse,5,0.13367371533725722,77.66666666666667,0.0
sparse,6,0.09965068366242728,34.0,0.0
sparse,7,0.12415422433696222,71.33333333333333,0.0
sparse,8,0.1113189550039048,36.666666666666664,0.0
sparse,9,0.0804656166631806,69.33333333333333,0.0
sparse,10,0.039038187329424545,-12.333333333333334,0.0
