,type,id,class,time_1avg,cost_1avg,fails_1total,visited,repeated,explored
mazes/dense/1a,dense,1,a,0.2892004720015393,247.0,0.0,157.0,0.0,183.0
mazes/dense/1b,dense,1,b,0.05049539799802005,-5.0,0.0,19.0,0.0,26.0
mazes/dense/1c,dense,1,c,0.12080439599958481,105.0,0.0,54.0,0.0,67.0
mazes/dense/2a,dense,2,a,0.30479908599954797,95.0,0.0,244.0,0.0,258.0
mazes/dense/2b,dense,2,b,0.14582011800303007,148.0,0.0,83.0,0.0,96.0
mazes/dense/2c,dense,2,c,0.18505194599856623,151.0,0.0,111.0,0.0,125.0
mazes/dense/3a,dense,3,a,0.2460798860010982,-3.0,0.0,135.0,0.0,154.0
mazes/dense/3b,dense,3,b,0.30605734499840764,195.0,0.0,191.0,0.0,211.0
mazes/dense/3c,dense,3,c,0.32427619099689764,162.0,0.0,203.0,0.0,223.0
mazes/dense/4a,dense,4,a,0.2798323919996619,93.0,0.0,163.0,0.0,175.0
mazes/dense/4b,dense,4,b,0.34936664199994993,99.0,0.0,233.0,0.0,251.0
mazes/dense/4c,dense,4,c,0.34792868200020166,341.0,0.0,277.0,0.0,291.0
mazes/dense/5a,dense,5,a,0.3772849640008644,169.0,0.0,247.0,0.0,266.0
mazes/dense/5b,dense,5,b,0.394867904997227,337.0,0.0,277.0,0.0,292.0
mazes/dense/5c,dense,5,c,0.09785618399837404,1.0,0.0,42.0,0.0,50.0
mazes/dense/6a,dense,6,a,0.13049060300181736,75.0,0.0,67.0,0.0,76.0
mazes/dense/6b,dense,6,b,0.35523511900100857,153.0,0.0,275.0,0.0,293.0
mazes/dense/6c,dense,6,c,0.23391292100131977,83.0,0.0,125.0,0.0,143.0
mazes/dense/7a,dense,7,a,0.29415877900100895,143.0,0.0,174.0,0.0,193.0
mazes/dense/7b,dense,7,b,0.3422646299986809,115.0,0.0,221.0,0.0,239.0
mazes/dense/7c,dense,7,c,0.2958320340003411,126.0,0.0,172.0,0.0,191.0
mazes/dense/8a,dense,8,a,0.17329390099985176,103.0,0.0,82.0,0.0,95.0
mazes/dense/8b,dense,8,b,0.22869550399991567,43.0,0.0,117.0,0.0,132.0
mazes/dense/8c,dense,8,c,0.1709256549984275,214.0,0.0,83.0,0.0,102.0
mazes/dense/9a,dense,9,a,0.18316274199969484,121.0,0.0,103.0,0.0,118.0
mazes/dense/9b,dense,9,b,0.3325210149996565,247.0,0.0,278.0,0.0,295.0
mazes/dense/9c,dense,9,c,0.06605916099942988,94.0,0.0,34.0,0.0,40.0
mazes/dense/10a,dense,10,a,0.10415746699800366,49.0,0.0,54.0,0.0,63.0
mazes/dense/10b,dense,10,b,0.14193275600337074,112.0,0.0,76.0,0.0,87.0
mazes/dense/10c,dense,10,c,0.09638993800035678,186.0,0.0,51.0,0.0,65.0
mazes/sparse/1a,sparse,1,a,0.0905518409999786,68.0,0.0,106.0,0.0,128.0
mazes/sparse/1b,sparse,1,b,0.024371716001041932,-5.0,0.0,25.0,0.0,30.0
mazes/sparse/1c,sparse,1,c,0.030097786999249365,43.0,0.0,40.0,0.0,49.0
mazes/sparse/2a,sparse,2,a,0.14613768600247568,55.0,0.0,244.0,0.0,258.0
mazes/sparse/2b,sparse,2,b,0.05828129499786883,26.0,0.0,90.0,0.0,104.0
mazes/sparse/2c,sparse,2,c,0.07096306099992944,-13.0,0.0,116.0,0.0,133.0
mazes/sparse/3a,sparse,3,a,0.09962260700194747,31.0,0.0,134.0,0.0,152.0
mazes/sparse/3b,sparse,3,b,0.10338460300044972,41.0,0.0,170.0,0.0,193.0
mazes/sparse/3c,sparse,3,c,0.11117008200017153,10.0,0.0,190.0,0.0,210.0
mazes/sparse/4a,sparse,4,a,0.06895519600220723,-13.0,0.0,99.0,0.0,112.0
mazes/sparse/4b,sparse,4,b,0.13144379499863135,13.0,0.0,246.0,0.0,264.0
mazes/sparse/4c,sparse,4,c,0.14428884900189587,35.0,0.0,278.0,0.0,292.0
mazes/sparse/5a,sparse,5,a,0.14206922599987593,-1.0,0.0,233.0,0.0,250.0
mazes/sparse/5b,sparse,5,b,0.14789377299894113,15.0,0.0,269.0,0.0,291.0
mazes/sparse/5c,sparse,5,c,0.04731133799941745,1.0,0.0,59.0,0.0,69.0
mazes/sparse/6a,sparse,6,a,0.038624140001047635,-5.0,0.0,62.0,0.0,71.0
mazes/sparse/6b,sparse,6,b,0.13785403099973337,3.0,0.0,261.0,0.0,280.0
mazes/sparse/6c,sparse,6,c,0.08356520699817338,13.0,0.0,117.0,0.0,133.0
mazes/sparse/7a,sparse,7,a,0.10291331500047818,33.0,0.0,162.0,0.0,180.0
mazes/sparse/7b,sparse,7,b,0.10121792000063579,-5.0,0.0,166.0,0.0,182.0
mazes/sparse/7c,sparse,7,c,0.09437159699882613,22.0,0.0,154.0,0.0,171.0
mazes/sparse/8a,sparse,8,a,0.05864237399873673,17.0,0.0,83.0,0.0,97.0
mazes/sparse/8b,sparse,8,b,0.07756144700033474,3.0,0.0,117.0,0.0,132.0
mazes/sparse/8c,sparse,8,c,0.048966294998535886,59.0,0.0,63.0,0.0,76.0
mazes/sparse/9a,sparse,9,a,0.04031241199845681,-25.0,0.0,64.0,0.0,75.0
mazes/sparse/9b,sparse,9,b,0.15359044000069844,70.0,0.0,277.0,0.0,294.0
mazes/sparse/9c,sparse,9,c,0.038923757998418296,2.0,0.0,52.0,0.0,63.0
mazes/sparse/10a,sparse,10,a,0.040408304001175566,-13.0,0.0,69.0,0.0,81.0
mazes/sparse/10b,sparse,10,b,0.08177280299787526,-10.0,0.0,125.0,0.0,138.0
mazes/sparse/10c,sparse,10,c,0.025976527002057992,0.0,1.0,38.0,0.0,46.0
