type,id,time_1avg,cost_1avg,fails_1total,visited,repeated,explored
dense,1,0.2892004720015393,247.0,0.0,157.0,0.0,183.0
dense,2,0.30479908599954797,151.0,0.0,244.0,0.0,258.0
dense,3,0.32427619099689764,195.0,0.0,203.0,0.0,223.0
dense,4,0.34936664199994993,341.0,0.0,277.0,0.0,291.0
dense,5,0.394867904997227,337.0,0.0,277.0,0.0,292.0
dense,6,0.35523511900100857,153.0,0.0,275.0,0.0,293.0
dense,7,0.3422646299986809,143.0,0.0,221.0,0.0,239.0
dense,8,0.22869550399991567,214.0,0.0,117.0,0.0,132.0
dense,9,0.3325210149996565,247.0,0.0,278.0,0.0,295.0
dense,10,0.14193275600337074,186.0,0.0,76.0,0.0,87.0
sparse,1,0.0905518409999786,68.0,0.0,106.0,0.0,128.0
sparse,2,0.14613768600247568,55.0,0.0,244.0,0.0,258.0
sparse,3,0.11117008200017153,41.0,0.0,190.0,0.0,210.0
sparse,4,0.14428884900189587,35.0,0.0,278.0,0.0,292.0
sparse,5,0.14789377299894113,15.0,0.0,269.0,0.0,291.0
sparse,6,0.13785403099973337,13.0,0.0,261.0,0.0,280.0
sparse,7,0.10291331500047818,33.0,0.0,166.0,0.0,182.0
sparse,8,0.07756144700033474,59.0,0.0,117.0,0.0,132.0
sparse,9,0.15359044000069844,70.0,0.0,277.0,0.0,294.0
sparse,10,0.08177280299787526,0.0,1.0,125.0,0.0,138.0
