type,id,time_1avg,fails_1total,visited,repeated,explored
dense,1,30.052247775999906,1.0,0.0,0.0,0.0
dense,2,30.046499239999928,1.0,0.0,0.0,0.0
dense,3,30.048484196333447,1.0,0.0,0.0,0.0
dense,4,30.047458904333325,1.0,0.0,0.0,0.0
dense,5,30.052260440334067,1.0,0.0,0.0,0.0
dense,6,30.0559931033337,1.0,0.0,0.0,0.0
dense,7,30.050131168666365,1.0,0.0,0.0,0.0
dense,8,30.052174745333712,1.0,0.0,0.0,0.0
dense,9,30.053545122666645,1.0,0.0,0.0,0.0
dense,10,30.056012775000756,1.0,0.0,0.0,0.0
sparse,1,30.044012846666494,1.0,0.0,0.0,0.0
sparse,2,12.47288926400021,0.3333333333333333,0.0,0.0,0.0
sparse,3,1.8967668133348827,0.0,0.0,0.0,0.0
sparse,4,23.58325255733386,0.6666666666666666,0.0,0.0,0.0
sparse,5,11.822764920333915,0.3333333333333333,0.0,0.0,0.0
sparse,6,21.8532206246673,0.6666666666666666,0.0,0.0,0.0
sparse,7,17.068972676667425,0.3333333333333333,0.0,0.0,0.0
sparse,8,14.849743029998839,0.3333333333333333,0.0,0.0,0.0
sparse,9,22.377240253999236,0.6666666666666666,0.0,0.0,0.0
sparse,10,27.152865094667504,0.6666666666666666,0.0,0.0,0.0
