type,id,time_100avg,cost_100avg,fails_100total
dense,1,0.0008052435336139751,7.333333333333333,0.0
dense,2,0.0017226451832054108,18.666666666666668,0.0
dense,3,0.0017835707962998032,4.333333333333333,0.0
dense,4,0.002493707036749887,20.0,0.0
dense,5,0.0016903873533980613,14.666666666666666,0.0
dense,6,0.0017632416000803158,16.333333333333332,0.0
dense,7,0.002022850220212907,18.0,0.0
dense,8,0.0012603504833289968,13.666666666666666,0.0
dense,9,0.0014130206701762898,14.0,0.0
dense,10,0.0013764006033792006,12.666666666666666,0.0
sparse,1,0.0008131021595181665,7.333333333333333,0.0
sparse,2,0.001568245336554052,18.666666666666668,0.0
sparse,3,0.0017624264301897106,4.333333333333333,0.0
sparse,4,0.0022653358000631367,20.0,0.0
sparse,5,0.0015838601099918985,14.666666666666666,0.0
sparse,6,0.0016509565868182106,16.333333333333332,0.0
sparse,7,0.0019965240470385956,18.0,0.0
sparse,8,0.0013611340462618196,13.666666666666666,0.0
sparse,9,0.001544081813408411,14.0,0.0
sparse,10,0.0012779890970220245,12.666666666666666,0.0
