type,id,time_100avg,cost_100avg,fails_100total
dense,1,0.002339335459910217,69.33333333333333,0.0
dense,2,0.004513595043342017,137.33333333333334,0.0
dense,3,0.009518497723305094,89.0,0.0
dense,4,0.009087035143214356,153.33333333333334,0.0
dense,5,0.0030716035498820327,148.66666666666666,0.0
dense,6,0.0031678062634455267,111.66666666666667,0.0
dense,7,0.003687159200029176,150.0,0.0
dense,8,0.00354899875317642,159.66666666666666,0.0
dense,9,0.0031591149967183205,206.66666666666666,0.0
dense,10,0.0033840942867391275,93.33333333333333,0.0
sparse,1,0.002343823686436129,19.333333333333332,0.0
sparse,2,0.004503759123205478,20.666666666666668,0.0
sparse,3,0.009535059809689604,19.0,0.0
sparse,4,0.009039246349833168,20.0,0.0
sparse,5,0.0030538560233738577,28.666666666666668,0.0
sparse,6,0.003161690030004441,5.0,0.0
sparse,7,0.003674577543206396,20.0,0.0
sparse,8,0.0035491410199271437,19.666666666666668,0.0
sparse,9,0.003127829630248016,46.666666666666664,0.0
sparse,10,0.003376752766683542,6.666666666666667,0.0
