,type,id,class,time_100avg,cost_100avg,fails_100total
mazes/dense/1a,dense,1,a,0.0014043294201110258,108.0,0.0
mazes/dense/1b,dense,1,b,0.0019480162599211327,-5.0,0.0
mazes/dense/1c,dense,1,c,0.003665660699698492,105.0,0.0
mazes/dense/2a,dense,2,a,0.003373641559810494,105.0,0.0
mazes/dense/2b,dense,2,b,0.00608753932028776,156.0,0.0
mazes/dense/2c,dense,2,c,0.004079604249927798,151.0,0.0
mazes/dense/3a,dense,3,a,0.0012988372199470178,-3.0,0.0
mazes/dense/3b,dense,3,b,0.0020380373596708525,135.0,0.0
mazes/dense/3c,dense,3,c,0.02521861859029741,135.0,0.0
mazes/dense/4a,dense,4,a,0.004156977060047211,193.0,0.0
mazes/dense/4b,dense,4,b,0.00383881717978511,105.0,0.0
mazes/dense/4c,dense,4,c,0.019265311189810744,162.0,0.0
mazes/dense/5a,dense,5,a,0.004117405860088183,175.0,0.0
mazes/dense/5b,dense,5,b,0.003906808229730814,270.0,0.0
mazes/dense/5c,dense,5,c,0.0011905965598270995,1.0,0.0
mazes/dense/6a,dense,6,a,0.0030238150102377404,63.0,0.0
mazes/dense/6b,dense,6,b,0.003357777960045496,189.0,0.0
mazes/dense/6c,dense,6,c,0.0031218258200533455,83.0,0.0
mazes/dense/7a,dense,7,a,0.004706737870073994,143.0,0.0
mazes/dense/7b,dense,7,b,0.0035184663200197976,181.0,0.0
mazes/dense/7c,dense,7,c,0.002836273409993737,126.0,0.0
mazes/dense/8a,dense,8,a,0.003623716910078656,103.0,0.0
mazes/dense/8b,dense,8,b,0.0038248705896694445,205.0,0.0
mazes/dense/8c,dense,8,c,0.0031984087597811597,171.0,0.0
mazes/dense/9a,dense,9,a,0.003182392160160816,121.0,0.0
mazes/dense/9b,dense,9,b,0.004648453410190996,405.0,0.0
mazes/dense/9c,dense,9,c,0.0016464994198031491,94.0,0.0
mazes/dense/10a,dense,10,a,0.0033580035198974654,49.0,0.0
mazes/dense/10b,dense,10,b,0.0032806761201209155,112.0,0.0
mazes/dense/10c,dense,10,c,0.003513603220199002,119.0,0.0
mazes/sparse/1a,sparse,1,a,0.0014101353198930156,38.0,0.0
mazes/sparse/1b,sparse,1,b,0.001938764389269636,-5.0,0.0
mazes/sparse/1c,sparse,1,c,0.0036825713501457357,25.0,0.0
mazes/sparse/2a,sparse,2,a,0.0033922109598643144,55.0,0.0
mazes/sparse/2b,sparse,2,b,0.006071769269838114,26.0,0.0
mazes/sparse/2c,sparse,2,c,0.0040472971399140075,-19.0,0.0
mazes/sparse/3a,sparse,3,a,0.0012858257292828058,-3.0,0.0
mazes/sparse/3b,sparse,3,b,0.0019977905997802738,15.0,0.0
mazes/sparse/3c,sparse,3,c,0.02532156310000573,45.0,0.0
mazes/sparse/4a,sparse,4,a,0.004130252399772871,23.0,0.0
mazes/sparse/4b,sparse,4,b,0.003878793559561018,5.0,0.0
mazes/sparse/4c,sparse,4,c,0.019108693090165618,32.0,0.0
mazes/sparse/5a,sparse,5,a,0.004117857730016113,15.0,0.0
mazes/sparse/5b,sparse,5,b,0.0038247120400774293,70.0,0.0
mazes/sparse/5c,sparse,5,c,0.0012189983000280335,1.0,0.0
mazes/sparse/6a,sparse,6,a,0.0029909546993440016,-17.0,0.0
mazes/sparse/6b,sparse,6,b,0.0033958748605073196,19.0,0.0
mazes/sparse/6c,sparse,6,c,0.003098240530162002,13.0,0.0
mazes/sparse/7a,sparse,7,a,0.004692750890390016,3.0,0.0
mazes/sparse/7b,sparse,7,b,0.0035194454496377146,31.0,0.0
mazes/sparse/7c,sparse,7,c,0.0028115362895914588,26.0,0.0
mazes/sparse/8a,sparse,8,a,0.0036131751001084924,23.0,0.0
mazes/sparse/8b,sparse,8,b,0.003870166799752042,15.0,0.0
mazes/sparse/8c,sparse,8,c,0.0031640811599208973,21.0,0.0
mazes/sparse/9a,sparse,9,a,0.003189790380492923,11.0,0.0
mazes/sparse/9b,sparse,9,b,0.0045560535304684895,95.0,0.0
mazes/sparse/9c,sparse,9,c,0.0016376449797826354,34.0,0.0
mazes/sparse/10a,sparse,10,a,0.0033601887899567372,-1.0,0.0
mazes/sparse/10b,sparse,10,b,0.0032639183502760714,2.0,0.0
mazes/sparse/10c,sparse,10,c,0.0035061511598178186,19.0,0.0
