type,time_100avg,cost_100avg,fails_100total,visited,repeated,explored
dense,0.162160352433333,-251.0139407579156,0.3193333333333334,210.88033333333334,2789.119666666667,236.404
sparse,0.16547388110000083,-1040.6414328563962,0.38100000000000006,196.804,2803.196000000001,222.89199999999997
