type,id,time_1avg,cost_1avg,fails_1total
dense,1,0.3376973699972344,306.3333333333333,0.0
dense,2,0.2725295999941106,380.0,0.0
dense,3,0.2507091470033629,259.3333333333333,0.0
dense,4,0.2811296319947966,413.0,0.0
dense,5,0.315958981004466,516.0,0.0
dense,6,0.2737605506699765,417.6666666666667,0.0
dense,7,0.2685776839934988,530.0,0.0
dense,8,0.2986433059995761,393.0,0.0
dense,9,0.26335582267104957,325.3333333333333,0.0
dense,10,0.2444188319980943,426.6666666666667,0.0
sparse,1,0.10634055999980774,121.0,0.0
sparse,2,0.06747911733206517,101.0,0.0
sparse,3,0.08061554266411501,39.666666666666664,0.0
sparse,4,0.10420099900026496,92.66666666666667,0.0
sparse,5,0.10160584066761658,63.666666666666664,0.0
sparse,6,0.08466009133553598,34.666666666666664,0.0
sparse,7,0.0857329449985021,74.66666666666667,0.0
sparse,8,0.10248111299491332,80.66666666666667,0.0
sparse,9,0.08578967933135573,85.0,0.0
sparse,10,0.08618272166737977,32.0,0.0
