type,time_1avg,cost_1avg,fails_1total,visited,repeated,explored
dense,0.2627114998003284,390.1333333333333,0.0,229.06666666666666,0.0,252.43333333333334
sparse,0.07539821203342095,76.9,0.0,153.43333333333334,0.0,182.46666666666667
