type,id,time_1avg,cost_1avg,fails_1total,visited,repeated,explored
dense,10,0.021887799999944946,270.0,0.0,286.0,0.0,301.0
sparse,10,0.0218661000000111,91.0,0.0,286.0,0.0,301.0
