type,id,time_1avg,cost_1avg,fails_1total
dense,1,0.009153182666826373,69.33333333333333,0.0
dense,2,0.013423078666770985,143.66666666666666,0.0
dense,3,0.005815803999818551,89.0,0.0
dense,4,0.008808027998990534,164.0,0.0
dense,5,0.008863947332429234,138.0,0.0
dense,6,0.015247304002211118,150.33333333333334,0.0
dense,7,0.010752216665423475,172.0,0.0
dense,8,0.009995233003185907,124.0,0.0
dense,9,0.009845633663644549,164.33333333333334,0.0
dense,10,0.011972876001285234,107.33333333333333,0.0
sparse,1,0.009125595332686013,19.333333333333332,0.0
sparse,2,0.01264502633663748,30.333333333333332,0.0
sparse,3,0.005610611668089405,19.0,0.0
sparse,4,0.00863959466611656,30.666666666666668,0.0
sparse,5,0.00867777399980696,31.333333333333332,0.0
sparse,6,0.015051702333342595,13.666666666666666,0.0
sparse,7,0.010671969668085998,48.666666666666664,0.0
sparse,8,0.010148790332702143,20.666666666666668,0.0
sparse,9,0.00996145333435076,37.666666666666664,0.0
sparse,10,0.0116154993326442,14.0,0.0
