type,time_1avg,cost_1avg,fails_1total,visited,repeated,explored
dense,0.23229179439986183,133.3,0.0,144.93333333333334,0.0,160.0
sparse,0.08470811416664219,15.666666666666666,0.03333333333333333,136.96666666666667,0.0,151.8
