type,id,time_1avg,score_1avg,fails_1total,visited,repeated,explored
dense,1,0.0025662429980002344,-5.0,0.0,27.0,0.0,35.0
sparse,1,0.0024588980013504624,-5.0,0.0,27.0,0.0,35.0
