type,id,time_1avg,score_1avg,fails_1total,visited,repeated,explored
dense,10,0.030418688009376638,270.0,0.0,286.0,0.0,301.0
sparse,10,0.0375626699969871,91.0,0.0,286.0,0.0,301.0
