type,id,time_1avg,score_1avg,fails_1total,visited,repeated,explored
dense,1,0.017635148668584105,69.33333333333333,0.0,133.66666666666666,0.0,153.66666666666666
dense,2,0.02007488699746318,143.66666666666666,0.0,197.0,0.0,216.33333333333334
dense,3,0.00965472532940718,89.0,0.0,88.0,0.0,110.66666666666667
dense,4,0.013338520671823062,164.0,0.0,136.33333333333334,0.0,153.33333333333334
dense,5,0.014197194327910742,138.0,0.0,138.0,0.0,149.33333333333334
dense,6,0.02565719733926623,150.33333333333334,0.0,227.0,0.0,252.0
dense,7,0.016994798332840826,172.0,0.0,165.66666666666666,0.0,182.0
dense,8,0.017579834665715072,124.0,0.0,143.66666666666666,0.0,165.66666666666666
dense,9,0.0171311280040148,164.33333333333334,0.0,151.33333333333334,0.0,176.0
dense,10,0.020653380997828208,107.33333333333333,0.0,183.33333333333334,0.0,208.0
sparse,1,0.017941960667182382,19.333333333333332,0.0,133.66666666666666,0.0,153.66666666666666
sparse,2,0.025831962998684805,30.333333333333332,0.0,197.0,0.0,216.33333333333334
sparse,3,0.010581471006541202,19.0,0.0,88.0,0.0,110.66666666666667
sparse,4,0.014038701333144369,30.666666666666668,0.0,136.33333333333334,0.0,153.33333333333334
sparse,5,0.013609457664036503,31.333333333333332,0.0,138.0,0.0,149.33333333333334
sparse,6,0.025557184999343008,13.666666666666666,0.0,227.0,0.0,252.0
sparse,7,0.018311396668044228,48.666666666666664,0.0,165.66666666666666,0.0,182.0
sparse,8,0.015269698667301176,20.666666666666668,0.0,143.66666666666666,0.0,165.66666666666666
sparse,9,0.015724667008422937,37.666666666666664,0.0,151.33333333333334,0.0,176.0
sparse,10,0.018918037671634618,14.0,0.0,183.33333333333334,0.0,208.0
